campania_id,cruce_id,tipo_dia,t_inicio_s,t_fin_s,flujo_veh_h
1,10,Laboral,21600,25199,191.859671398095
1,10,Laboral,25200,28799,456.315012581483
1,10,Laboral,28800,32399,364.597085519023
1,10,Laboral,32400,35999,219.594002152202
1,10,Laboral,36000,39599,287.758410525833
1,10,Laboral,39600,43199,367.679418824488
1,10,Laboral,43200,46799,392.706518664556
1,10,Laboral,46800,50399,414.032326239337
1,10,Laboral,50400,53999,371.896472114417
1,10,Laboral,54000,57599,391.459759562871
1,10,Laboral,57600,61199,381.193775307929
1,10,Laboral,61200,64799,396.083354792426
1,10,Laboral,64800,68399,393.856215306527
1,10,Laboral,68400,71999,339.957949703735
1,10,Laboral,72000,75599,307.674621193528
1,10,Laboral,75600,79199,247.128815628009
1,10,Laboral,79200,82799,184.963454136247
1,10,Laboral,82800,86399,108.621276299075
1,11,Laboral,21600,25199,70.2
1,11,Laboral,25200,28799,160
1,11,Laboral,28800,32399,130.142857142857
1,11,Laboral,32400,35999,98.2
1,11,Laboral,36000,39599,97.6
1,11,Laboral,39600,43199,102.6
1,11,Laboral,43200,46799,122.8
1,11,Laboral,46800,50399,116.5
1,11,Laboral,50400,53999,99.333333333333
1,11,Laboral,54000,57599,122.833333333333
1,11,Laboral,57600,61199,118.5
1,11,Laboral,61200,64799,128.333333333333
1,11,Laboral,64800,68399,139.166666666667
1,11,Laboral,68400,71999,121.166666666667
1,11,Laboral,72000,75599,88.666666666667
1,11,Laboral,75600,79199,66.666666666667
1,11,Laboral,79200,82799,44.5
1,11,Laboral,82800,86399,28.2
1,12,Laboral,21600,25199,191.142857142857
1,12,Laboral,25200,28799,306.142857142857
1,12,Laboral,28800,32399,223.571428571429
1,12,Laboral,32400,35999,161.857142857143
1,12,Laboral,36000,39599,147
1,12,Laboral,39600,43199,182.857142857143
1,12,Laboral,43200,46799,197.285714285714
1,12,Laboral,46800,50399,210.428571428571
1,12,Laboral,50400,53999,183.857142857143
1,12,Laboral,54000,57599,175.714285714286
1,12,Laboral,57600,61199,185.571428571429
1,12,Laboral,61200,64799,202.857142857143
1,12,Laboral,64800,68399,213.714285714286
1,12,Laboral,68400,71999,182.142857142857
1,12,Laboral,72000,75599,155
1,12,Laboral,75600,79199,122
1,12,Laboral,79200,82799,100.857142857143
1,12,Laboral,82800,86399,59.285714285714
1,13,Laboral,21600,25199,35.051099607356
1,13,Laboral,25200,28799,83.364799083484
1,13,Laboral,28800,32399,66.608728493871
1,13,Laboral,32400,35999,40.117921533619
1,13,Laboral,36000,39599,52.57096833689
1,13,Laboral,39600,43199,67.17184408208
1,13,Laboral,43200,46799,71.744078376994
1,13,Laboral,46800,50399,75.640118644675
1,13,Laboral,50400,53999,67.942263179734
1,13,Laboral,54000,57599,71.516306291589
1,13,Laboral,57600,61199,69.640799917241
1,13,Laboral,61200,64799,72.360997079154
1,13,Laboral,64800,68399,71.954117992002
1,13,Laboral,68400,71999,62.107371864791
1,13,Laboral,72000,75599,56.209487463017
1,13,Laboral,75600,79199,45.148293381843
1,13,Laboral,79200,82799,33.791220465494
1,13,Laboral,82800,86399,19.844166037047
1,14,Laboral,21600,25199,64.903696339908
1,14,Laboral,25200,28799,154.365588120275
1,14,Laboral,28800,32399,123.338575285275
1,14,Laboral,32400,35999,74.285869093243
1,14,Laboral,36000,39599,97.345024933721
1,14,Laboral,39600,43199,124.381289595262
1,14,Laboral,43200,46799,132.847640425802
1,14,Laboral,46800,50399,140.061890971269
1,14,Laboral,50400,53999,125.807865301268
1,14,Laboral,54000,57599,132.425877615748
1,14,Laboral,57600,61199,128.953025192633
1,14,Laboral,61200,64799,133.989981309823
1,14,Laboral,64800,68399,133.236568235329
1,14,Laboral,68400,71999,115.003467769558
1,14,Laboral,72000,75599,104.082426702411
1,14,Laboral,75600,79199,83.600547678831
1,14,Laboral,79200,82799,62.570793402071
1,14,Laboral,82800,86399,36.745201748732
1,15,Laboral,21600,25199,63.70105761514
1,15,Laboral,25200,28799,151.505257437831
1,15,Laboral,28800,32399,121.053162354107
1,15,Laboral,32400,35999,72.909382576871
1,15,Laboral,36000,39599,95.541261769976
1,15,Laboral,39600,43199,122.07655559798
1,15,Laboral,43200,46799,130.38602843943
1,15,Laboral,46800,50399,137.466601897683
1,15,Laboral,50400,53999,123.47669744452
1,15,Laboral,54000,57599,129.972080720298
1,15,Laboral,57600,61199,126.563578820265
1,15,Laboral,61200,64799,131.507202218009
1,15,Laboral,64800,68399,130.767749577053
1,15,Laboral,68400,71999,112.872500942985
1,15,Laboral,72000,75599,102.153822262617
1,15,Laboral,75600,79199,82.051464009947
1,15,Laboral,79200,82799,61.411382406575
1,15,Laboral,82800,86399,36.064328315253
1,16,Laboral,21600,25199,101.138037273245
1,16,Laboral,25200,28799,240.544583520357
1,16,Laboral,28800,32399,192.195855211423
1,16,Laboral,32400,35999,115.758075747809
1,16,Laboral,36000,39599,151.690663480103
1,16,Laboral,39600,43199,193.820694545635
1,16,Laboral,43200,46799,207.013627370033
1,16,Laboral,46800,50399,218.255439188343
1,16,Laboral,50400,53999,196.04369685619
1,16,Laboral,54000,57599,206.356403433506
1,16,Laboral,57600,61199,200.944732024623
1,16,Laboral,61200,64799,208.793712656729
1,16,Laboral,64800,68399,207.619685229828
1,16,Laboral,68400,71999,179.207436028235
1,16,Laboral,72000,75599,162.189412081999
1,16,Laboral,75600,79199,130.272939509093
1,16,Laboral,79200,82799,97.502724685713
1,16,Laboral,82800,86399,57.259259389685
1,17,Laboral,21600,25199,256.333333333333
1,17,Laboral,25200,28799,811
1,17,Laboral,28800,32399,989.333333333333
1,17,Laboral,32400,35999,658
1,17,Laboral,36000,39599,547.833333333333
1,17,Laboral,39600,43199,651.833333333333
1,17,Laboral,43200,46799,590.571428571429
1,17,Laboral,46800,50399,627.857142857143
1,17,Laboral,50400,53999,539.714285714286
1,17,Laboral,54000,57599,598.857142857143
1,17,Laboral,57600,61199,652.571428571429
1,17,Laboral,61200,64799,794.428571428571
1,17,Laboral,64800,68399,861.714285714286
1,17,Laboral,68400,71999,706.142857142857
1,17,Laboral,72000,75599,557.571428571429
1,17,Laboral,75600,79199,512.714285714286
1,17,Laboral,79200,82799,388.142857142857
1,17,Laboral,82800,86399,261.857142857143
1,18,Laboral,21600,25199,72.095117606052
1,18,Laboral,25200,28799,234.157238387855
1,18,Laboral,28800,32399,306.940177119104
1,18,Laboral,32400,35999,209.200795228628
1,18,Laboral,36000,39599,193.43249593349
1,18,Laboral,39600,43199,243.225013555033
1,18,Laboral,43200,46799,217.362939247631
1,18,Laboral,46800,50399,219.357620510702
1,18,Laboral,50400,53999,181.005860938266
1,18,Laboral,54000,57599,207.928326147014
1,18,Laboral,57600,61199,235.785081717487
1,18,Laboral,61200,64799,273.993545222173
1,18,Laboral,64800,68399,297.276290310088
1,18,Laboral,68400,71999,235.13165164855
1,18,Laboral,72000,75599,198.126875112959
1,18,Laboral,75600,79199,175.9102527691
1,18,Laboral,79200,82799,138.53863830007
1,18,Laboral,82800,86399,90.17334951331
1,19,Laboral,21600,25199,53.385748998075
1,19,Laboral,25200,28799,173.391208305721
1,19,Laboral,28800,32399,227.286282306163
1,19,Laboral,32400,35999,154.911199469848
1,19,Laboral,36000,39599,143.23492379059
1,19,Laboral,39600,43199,180.105809586923
1,19,Laboral,43200,46799,160.955189497933
1,19,Laboral,46800,50399,162.432232004797
1,19,Laboral,50400,53999,134.03311874783
1,19,Laboral,54000,57599,153.968948215469
1,19,Laboral,57600,61199,174.596610811323
1,19,Laboral,61200,64799,202.889614692796
1,19,Laboral,64800,68399,220.13026602291
1,19,Laboral,68400,71999,174.112752059074
1,19,Laboral,72000,75599,146.711066931743
1,19,Laboral,75600,79199,130.259869355297
1,19,Laboral,79200,82799,102.586544226703
1,19,Laboral,82800,86399,66.772507810281
1,20,Laboral,21600,25199,43.142857142857
1,20,Laboral,25200,28799,161.666666666667
1,20,Laboral,28800,32399,285.666666666667
1,20,Laboral,32400,35999,211
1,20,Laboral,36000,39599,255.666666666667
1,20,Laboral,39600,43199,358.5
1,20,Laboral,43200,46799,312.333333333333
1,20,Laboral,46800,50399,283.333333333333
1,20,Laboral,50400,53999,212.166666666667
1,20,Laboral,54000,57599,264.857142857143
1,20,Laboral,57600,61199,326.857142857143
1,20,Laboral,61200,64799,343.714285714286
1,20,Laboral,64800,68399,373.142857142857
1,20,Laboral,68400,71999,270.571428571429
1,20,Laboral,72000,75599,265.428571428571
1,20,Laboral,75600,79199,218
1,20,Laboral,79200,82799,187.333333333333
1,20,Laboral,82800,86399,112.714285714286
1,21,Laboral,21600,25199,172.010723537563
1,21,Laboral,25200,28799,558.672450147599
1,21,Laboral,28800,32399,732.324236399783
1,21,Laboral,32400,35999,499.129224652087
1,21,Laboral,36000,39599,461.507861919393
1,21,Laboral,39600,43199,580.307126935358
1,21,Laboral,43200,46799,518.603168865594
1,21,Laboral,46800,50399,523.362250737996
1,21,Laboral,50400,53999,431.859328875233
1,21,Laboral,54000,57599,496.093258630038
1,21,Laboral,57600,61199,562.556298572203
1,21,Laboral,61200,64799,653.71733236942
1,21,Laboral,64800,68399,709.267305259353
1,21,Laboral,68400,71999,560.997288993313
1,21,Laboral,72000,75599,472.708114946684
1,21,Laboral,75600,79199,419.701789264413
1,21,Laboral,79200,82799,330.537381769986
1,21,Laboral,82800,86399,215.143321886861
1,22,Laboral,21600,25199,107.402961738946
1,22,Laboral,25200,28799,348.833343374099
1,22,Laboral,28800,32399,457.260979577083
1,22,Laboral,32400,35999,311.654738237243
1,22,Laboral,36000,39599,288.164076149166
1,22,Laboral,39600,43199,362.34196839167
1,22,Laboral,43200,46799,323.814208543831
1,22,Laboral,46800,50399,326.785764489542
1,22,Laboral,50400,53999,269.651624165541
1,22,Laboral,54000,57599,309.759090478772
1,22,Laboral,57600,61199,351.258406272323
1,22,Laboral,61200,64799,408.179072749649
1,22,Laboral,64800,68399,442.864303357345
1,22,Laboral,68400,71999,350.284965531486
1,22,Laboral,72000,75599,295.157479366227
1,22,Laboral,75600,79199,262.06049417779
1,22,Laboral,79200,82799,206.386514965044
1,22,Laboral,82800,86399,134.334822235419
1,23,Laboral,21600,25199,68.017666009714
1,23,Laboral,25200,28799,220.914111291845
1,23,Laboral,28800,32399,289.580697632387
1,23,Laboral,32400,35999,197.369118621604
1,23,Laboral,36000,39599,182.492620037352
1,23,Laboral,39600,43199,229.469044319939
1,23,Laboral,43200,46799,205.069639880773
1,23,Laboral,46800,50399,206.951508840177
1,23,Laboral,50400,53999,170.768792727043
1,23,Laboral,54000,57599,196.16861600957
1,23,Laboral,57600,61199,222.44988940814
1,23,Laboral,61200,64799,258.497413785684
1,23,Laboral,64800,68399,280.463366984242
1,23,Laboral,68400,71999,221.833415093852
1,23,Laboral,72000,75599,186.921501295259
1,23,Laboral,75600,79199,165.961374609486
