itinerario_id,cruce_id,sentido,instante_paso_s,hcall_in_s,hcall_out_s
1,24,,21327,21250,21337
1,24,,22167,22090,22177
1,24,,22423,22346,22433
1,24,,22827,22750,22837
1,24,,23127,23050,23137
1,24,,23847,23770,23857
1,24,,23993,23916,24003
1,24,,24687,24610,24697
1,24,,25707,25630,25717
1,24,,26367,26290,26377
1,24,,26787,26710,26797
1,24,,26803,26726,26813
1,24,,27207,27130,27217
1,24,,27523,27446,27533
1,24,,27747,27670,27757
1,24,,28407,28330,28417
1,24,,28483,28406,28493
1,24,,29067,28990,29077
1,24,,29383,29306,29393
1,24,,29907,29830,29917
1,24,,30343,30266,30353
1,24,,30627,30550,30637
1,24,,31063,30986,31073
1,24,,31527,31450,31537
1,24,,32443,32366,32453
1,24,,32547,32470,32557
1,24,,33103,33026,33113
1,24,,33327,33250,33337
1,24,,33763,33686,33773
1,24,,33987,33910,33997
1,24,,34423,34346,34433
1,24,,34827,34750,34837
1,24,,35083,35006,35093
1,24,,35727,35650,35737
1,24,,35803,35726,35813
1,24,,36327,36250,36337
1,24,,36703,36626,36713
1,24,,37903,37826,37913
1,24,,38427,38350,38437
1,24,,38803,38726,38813
1,24,,39627,39550,39637
1,24,,40303,40226,40313
1,24,,40827,40750,40837
1,24,,41727,41650,41737
1,24,,43903,43826,43913
1,24,,44127,44050,44137
1,24,,44803,44726,44813
1,24,,45027,44950,45037
1,24,,46303,46226,46313
1,24,,46527,46450,46537
1,24,,47083,47006,47093
1,24,,49303,49226,49313
1,24,,49827,49750,49837
1,24,,50203,50126,50213
1,24,,52227,52150,52237
1,24,,53127,53050,53137
1,24,,55003,54926,55013
1,24,,56127,56050,56137
1,24,,57403,57326,57413
1,24,,57927,57850,57937
1,24,,58303,58226,58313
1,24,,60627,60550,60637
1,24,,61303,61226,61313
1,24,,61347,61270,61357
1,24,,62067,61990,62077
1,24,,62503,62426,62513
1,24,,62787,62710,62797
1,24,,63403,63326,63413
1,24,,63507,63430,63517
1,24,,64227,64150,64237
1,24,,64593,64516,64603
1,24,,64947,64870,64957
1,24,,65313,65236,65323
1,24,,65667,65590,65677
1,24,,66033,65956,66043
1,24,,66387,66310,66397
1,24,,66753,66676,66763
1,24,,67407,67330,67417
1,24,,67473,67396,67483
1,24,,68193,68116,68203
1,24,,68307,68230,68317
1,24,,68607,68530,68617
1,24,,68913,68836,68923
1,24,,69327,69250,69337
1,24,,69633,69556,69643
1,24,,70167,70090,70177
1,24,,70353,70276,70363
1,24,,70827,70750,70837
1,24,,71073,70996,71083
1,24,,71307,71230,71317
1,24,,71673,71596,71683
1,24,,72027,71950,72037
1,24,,72093,72016,72103
1,24,,72687,72610,72697
1,24,,72873,72796,72883
1,24,,73227,73150,73237
1,24,,73603,73526,73613
1,24,,73827,73750,73837
1,24,,74503,74426,74513
1,24,,74727,74650,74737
1,24,,75403,75326,75413
1,24,,75627,75550,75637
1,24,,76303,76226,76313
1,24,,76827,76750,76837
1,24,,77203,77126,77213
1,24,,77727,77650,77737
1,24,,78103,78026,78113
1,24,,78927,78850,78937
1,24,,79003,78926,79013
1,24,,79707,79630,79717
1,24,,79903,79826,79913
1,24,,80803,80726,80813
1,24,,83203,83126,83213
1,24,,84703,84626,84713
1,23,,21407,21330,21417
1,23,,22247,22170,22257
1,23,,22343,22266,22353
1,23,,22907,22830,22917
1,23,,23207,23130,23217
1,23,,23913,23836,23923
1,23,,23927,23850,23937
1,23,,24767,24690,24777
1,23,,25787,25710,25797
1,23,,26447,26370,26457
1,23,,26723,26646,26733
1,23,,26867,26790,26877
1,23,,27287,27210,27297
1,23,,27443,27366,27453
1,23,,27827,27750,27837
1,23,,28403,28326,28413
1,23,,28487,28410,28497
1,23,,29147,29070,29157
1,23,,29303,29226,29313
1,23,,29987,29910,29997
1,23,,30263,30186,30273
1,23,,30707,30630,30717
1,23,,30983,30906,30993
1,23,,31607,31530,31617
1,23,,32363,32286,32373
1,23,,32627,32550,32637
1,23,,33023,32946,33033
1,23,,33407,33330,33417
1,23,,33683,33606,33693
1,23,,34067,33990,34077
1,23,,34343,34266,34353
1,23,,34907,34830,34917
1,23,,35003,34926,35013
1,23,,35723,35646,35733
1,23,,35807,35730,35817
1,23,,36407,36330,36417
1,23,,36623,36546,36633
1,23,,37823,37746,37833
1,23,,38507,38430,38517
1,23,,38723,38646,38733
1,23,,39707,39630,39717
1,23,,40223,40146,40233
1,23,,40907,40830,40917
1,23,,41807,41730,41817
1,23,,43823,43746,43833
1,23,,44207,44130,44217
1,23,,44723,44646,44733
1,23,,45107,45030,45117
1,23,,46223,46146,46233
1,23,,46607,46530,46617
1,23,,47003,46926,47013
1,23,,49223,49146,49233
1,23,,49907,49830,49917
1,23,,50123,50046,50133
1,23,,52307,52230,52317
1,23,,53207,53130,53217
1,23,,54923,54846,54933
1,23,,56207,56130,56217
1,23,,57323,57246,57333
1,23,,58007,57930,58017
1,23,,58223,58146,58233
1,23,,60707,60630,60717
1,23,,61223,61146,61233
1,23,,61427,61350,61437
1,23,,62147,62070,62157
1,23,,62423,62346,62433
