version_prog_id,cruce_id,plan_id,fase_id,duracion_s,entreverde_s,cum_inicio_s,cum_fin_s,es_verde_lateral,ciclo_s,fase_origen,fuente
2,8,5,3,17,5,115,132,0,132,C,Red Ruta160.xlsx
2,8,6,1,64,5,0,69,0,130,A,Red Ruta160.xlsx
2,8,6,2,28,5,74,102,1,130,B,Red Ruta160.xlsx
2,8,6,3,24,5,107,130,0,130,C,Red Ruta160.xlsx
2,10,1,1,80,4,0,85,0,142,A,Red Ruta160.xlsx
2,10,1,2,26,5,89,115,1,142,B,Red Ruta160.xlsx
2,10,1,3,22,5,120,142,0,142,C,Red Ruta160.xlsx
2,10,2,1,78,4,0,83,0,138,A,Red Ruta160.xlsx
2,10,2,2,25,5,87,112,1,138,B,Red Ruta160.xlsx
2,10,2,3,21,5,117,138,0,138,C,Red Ruta160.xlsx
2,10,3,1,72,4,0,77,0,130,A,Red Ruta160.xlsx
2,10,3,2,21,5,81,102,1,130,B,Red Ruta160.xlsx
2,10,3,3,24,5,107,130,0,130,C,Red Ruta160.xlsx
2,10,4,1,69,4,0,74,0,140,A,Red Ruta160.xlsx
2,10,4,2,34,5,78,112,1,140,B,Red Ruta160.xlsx
2,10,4,3,23,5,117,140,0,140,C,Red Ruta160.xlsx
2,10,5,1,76,4,0,81,0,132,A,Red Ruta160.xlsx
2,10,5,2,22,5,85,107,1,132,B,Red Ruta160.xlsx
2,10,5,3,20,5,112,132,0,132,C,Red Ruta160.xlsx
2,10,6,1,77,4,0,82,0,130,A,Red Ruta160.xlsx
2,10,6,2,22,5,86,108,1,130,B,Red Ruta160.xlsx
2,10,6,3,17,5,113,130,0,130,C,Red Ruta160.xlsx
2,11,1,1,104,5,0,109,0,142,A,Red Ruta160.xlsx
2,11,1,2,28,5,114,142,1,142,B,Red Ruta160.xlsx
2,11,2,1,110,5,0,115,0,138,A,Red Ruta160.xlsx
2,11,2,2,18,5,120,138,1,138,B,Red Ruta160.xlsx
2,11,3,1,102,5,0,107,0,130,A,Red Ruta160.xlsx
2,11,3,2,18,5,112,130,1,130,B,Red Ruta160.xlsx
2,11,4,1,99,5,0,104,0,140,A,Red Ruta160.xlsx
2,11,4,2,31,5,109,140,1,140,B,Red Ruta160.xlsx
2,11,5,1,105,5,0,110,0,132,A,Red Ruta160.xlsx
2,11,5,2,17,5,115,132,1,132,B,Red Ruta160.xlsx
2,11,6,1,102,5,0,107,0,130,A,Red Ruta160.xlsx
2,11,6,2,18,5,112,130,1,130,B,Red Ruta160.xlsx
2,12,1,1,93,4,0,97,0,142,A,Red Ruta160.xlsx
2,12,1,2,39,4,101,140,1,142,B,Red Ruta160.xlsx
2,12,2,1,90,4,0,94,0,138,A,Red Ruta160.xlsx
2,12,2,2,37,4,98,135,1,138,B,Red Ruta160.xlsx
2,12,3,1,84,4,0,88,0,130,A,Red Ruta160.xlsx
2,12,3,2,35,4,92,127,1,130,B,Red Ruta160.xlsx
2,12,4,1,91,4,0,95,0,140,A,Red Ruta160.xlsx
2,12,4,2,38,4,99,137,1,140,B,Red Ruta160.xlsx
2,12,5,1,86,4,0,90,0,132,A,Red Ruta160.xlsx
2,12,5,2,36,4,94,130,1,132,B,Red Ruta160.xlsx
2,12,6,1,84,4,0,88,0,130,A,Red Ruta160.xlsx
